data_format,development_key,status,year_completed,street_address,property_id,floors_above,town_planning_application,longitude,latitude
Post May 16,X0004603,APPROVED,,54 Clarke Street SOUTHBANK VIC 3006,110466,25,TP-2018-570,144.9591642,-37.82755227
Post May 16,X001562,APPROVED,,58-66 La Trobe Street MELBOURNE VIC 3000,105491,34,TP-2016-858,144.9669434,-37.80829651
Post May 16,X001354,APPROVED,,28-32 Albermarle Street KENSINGTON VIC 3031,100304,8,TP-2015-1203,144.9336766,-37.79540759
Post May 16,X0004803,APPROVED,,21-23 Anthony Street MELBOURNE VIC 3000,100445,11,TP-2018-668,144.9588155,-37.80905854
Post May 16,X0005001,APPROVED,,"87-105 Racecourse Road, North Melbourne, 3051",616843,12,TP-2018-770,144.9389291,-37.78983527
Post May 16,X0003804,APPROVED,,87-89 Queens Bridge Street SOUTHBANK VIC 3006,108049,47,ID-2016-6,144.9609935,-37.82460797
Post May 16,X0001625,APPROVED,,56-58 Clarendon Street SOUTHBANK VIC 3006,110488,49,TPMR-2016-30/B,144.9571325,-37.82649246
Post May 16,X0002002,APPROVED,,"563 Little Lonsdale Street, MELBOURNE, 3000",106025,25,TP-2017-457/A,144.9551546,-37.81337096
Post May 16,X0001802,APPROVED,,422-428 Little Collins Street MELBOURNE VIC 3000,105954,22,TP-2017-382/A,144.9603263,-37.81590754
Post May 16,X001349,APPROVED,,696-708 Elizabeth Street MELBOURNE VIC 3000,103261,22,TP-2016-240,144.9580698,-37.80210503
Post May 16,X001356,APPROVED,,The District Docklands 420-454 Docklands Drive DOCKLANDS VIC 3008,593737,3,TP-2015-1095,144.9377585,-37.81317308
Post May 16,X000964,UNDER CONSTRUCTION,,63 Manningham Street PARKVILLE VIC 3052,106392,3,TP-2014-445/B,144.941666,-37.78659441
Post May 16,X001544,UNDER CONSTRUCTION,,"68-72 Chapman Street, North Melbourne, 3051",505958,3,TP-2016-441,144.9482764,-37.79561099
Post May 16,X0001649,UNDER CONSTRUCTION,,"137 Stanley Street, West Melbourne, 3003",109015,4,TP-2017-147,144.9474565,-37.80962821
Post May 16,X0005625,COMPLETED,2024,681-691 Collins Street DOCKLANDS VIC 3008,620753,32,TPMR-2016-23/A,144.9527841,-37.82053622
Post May 16,X0010006,UNDER CONSTRUCTION,,685-691 La Trobe Street DOCKLANDS VIC 3008,589577,30,TPM-2016-5/B,144.9465,-37.815
Post May 16,X0003604,UNDER CONSTRUCTION,,86-108 Laurens Street NORTH MELBOURNE VIC 3051,105502,14,TPM-2018-9,144.9418759,-37.8029614
Post May 16,X0011203,UNDER CONSTRUCTION,,"545 St Kilda Road, Melbourne, 3004",108648,7,TP-2021-357,144.9801471,-37.84633834
Post May 16,X0008019,UNDER CONSTRUCTION,,"124-130 Russell Street, Melbourne, 3000",108589,15,TP-2020-9,144.9686598,-37.8133077
Post May 16,X0008800,UNDER CONSTRUCTION,,731-739 Flinders Street DOCKLANDS VIC 3008,103983,20,TPD-2012-32/B,144.9506,-37.8229
Post May 16,X0011204,UNDER CONSTRUCTION,,"372-376 Albert Street, East Melbourne, 3002",100353,10,TP-2020-346/B,144.9787,-37.8096
Post May 16,X0013601,UNDER CONSTRUCTION,,7-23 Spencer Street DOCKLANDS VIC 3008,103975,21,TPMR-2014-35/E,144.9548,-37.822
Post May 16,X0011005,UNDER CONSTRUCTION,,"86-96 Stubbs Street, Kensington, 3031",615433,8,TPM-2021-9,144.934955,-37.79248256
Post May 16,X0005620,UNDER CONSTRUCTION,,"687 Queensberry Street, North Melbourne, 3051",107944,4,TP-2018-1171,144.9442887,-37.80274187
Post May 16,X0011603,UNDER CONSTRUCTION,,"235-251 Bourke Street, Melbourne, 3000",101137,3,TP-2021-568,144.966619,-37.81373805
Post May 16,X0011602,UNDER CONSTRUCTION,,"226-232 Flinders Lane, Melbourne, 3000",103965,9,TP-2021-549,144.9663938,-37.81640548
Post Oct 22,X0014013,UNDER CONSTRUCTION,,Victoria Harbour Precinct 938 Collins Street DOCKLANDS VIC 3008,106983,29,TPM-2018-14/A,144.9367403,-37.81977616
Post Oct 2022,X0015505,UNDER CONSTRUCTION,,"346-350 Macaulay Road, Kensington, 3031",615627,8,TPM-2019-30/B,144.9345432,-37.79422438
Pre May 16,X000479,COMPLETED,2006,191-201 Abbotsford Street NORTH MELBOURNE VIC 3051,100023,2,0,144.9450298,-37.80282184
Pre May 16,X000459,COMPLETED,2005,218-224 Abbotsford Street NORTH MELBOURNE VIC 3051,100119,3,0,144.9459475,-37.80204879
Pre May 16,X000573,COMPLETED,2013,56-62 Abbotsford Street WEST MELBOURNE VIC 3003,100144,4,0,144.9447186,-37.80679128
Pre May 16,X000563,COMPLETED,2014,1-9 Stawell Street WEST MELBOURNE VIC 3003,100441,3,0,144.9420962,-37.80607242
Pre May 16,X000997,COMPLETED,2007,229-235 Arden Street NORTH MELBOURNE VIC 3051,100556,2,0,144.9392856,-37.80037382
Pre May 16,X000394,COMPLETED,2002,16-18 Barkly Place CARLTON VIC 3053,100734,5,0,144.9614195,-37.80320056
Pre May 16,X000706,COMPLETED,2015,Melbourne Park 200 Batman Avenue MELBOURNE VIC 3004,100847,1,0,144.9790068,-37.82129682
Pre May 16,X000617,COMPLETED,2009,115-129 Batman Street WEST MELBOURNE VIC 3003,100853,4,0,144.9493029,-37.8116145
Pre May 16,X000229,COMPLETED,2010,10-14 Bennetts Lane MELBOURNE VIC 3000,101028,14,0,144.967921,-37.80905204
Pre May 16,X000362,COMPLETED,2006,223 Berkeley Street MELBOURNE VIC 3000,101049,8,0,144.9584344,-37.80027561
Pre May 16,X000106,COMPLETED,2007,Centrepoint Mall 283-297 Bourke Street MELBOURNE VIC 3000,101140,6,0,144.9652244,-37.81420896
Pre May 16,X000102,COMPLETED,2005,359-385 Bourke Street MELBOURNE VIC 3000,101146,42,0,144.9629215,-37.81492946
Pre May 16,X000095,COMPLETED,2005,RACV Building 483-501 Bourke Street MELBOURNE VIC 3000,101154,18,0,144.9595846,-37.81588557
Pre May 16,X000094,COMPLETED,2012,527-555 Bourke Street MELBOURNE VIC 3000,101155,8,0,144.9578145,-37.81636454
Pre May 16,X000425,COMPLETED,2012,51 Cardigan Street CARLTON VIC 3053,101578,2,0,144.9642508,-37.80552905
Pre May 16,X000490,COMPLETED,2014,76-78 Chapman Street NORTH MELBOURNE VIC 3051,101848,3,0,144.9478971,-37.79531399
